,Meat_KSA_Wholesale_Protein_4001320201,Meat_KSA_Retail_Protein_4001370861,Meat_KSA_Wholesale_Protein_4001370861,Meat_KSA_Retail_Protein_4001320201,Meat_KSA_Food Services_Protein_4001370813,Meat_KSA_Retail_Protein_4001350114,Meat_KSA_Retail_Protein_4001370124,Meat_KSA_Food Services_Protein_4001370815,Meat_KSA_Wholesale_Protein_4001350114,Meat_KSA_Wholesale_Protein_4001370845,Meat_KSA_Food Services_Protein_4001370861,Meat_KSA_Retail_Protein_4001370872,Meat_KSA_Retail_Protein_4001370145,Meat_KSA_Retail_Protein_4001340501,Meat_KSA_Retail_Protein_4001350111,Meat_KSA_Wholesale_Protein_4001320101,Meat_KSA_Food Services_Protein_4001370845,Meat_KSA_Retail_Protein_4001370144,Meat_KSA_Retail_Protein_4001370859,Meat_KSA_Food Services_Protein_4001370816,Date
0,188.6972,226.716,56.54,45.77,96.2829,76.09537660800001,67.9901753664,80.59,74.770079184,15.577,41.931,89.01299999999999,52.495296,28.2644,32.412879456,33.32,23.232,46.3308315,83.03755000000001,8.72304,2020-01-31
1,175.20552,146.17000000000002,74.867,47.380880000000005,103.4637,76.99944340799999,77.3374791168,83.37,64.233479184,19.758,49.445,57.897333,57.453312,28.8992,28.857292464,51.9932,16.983,22.84731,79.126,7.06656,2020-02-29
2,404.2188,288.101,124.497,135.19832,66.78756,116.475524208,101.2830606144,74.93,66.80592,13.22,61.76,75.58,81.814656,110.119208,46.454878368,55.008,11.172,43.360428,133.23045000000002,6.4056,2020-03-31
3,811.824,128.8847,49.3603,364.8888,16.85142,69.880736928,92.0498535936,2.18,65.046076464,7.58,15.19,184.757,62.383104,204.008,38.569599456000006,75.32,2.175,61.7699205,168.958,0.459,2020-04-30
4,279.3184,97.161,80.363,65.922,24.18828,34.232662272,59.5855092672,4.02,46.559598912,4.322,9.733,166.015,26.787264,54.2188,21.087138096,56.038,4.77,30.326451,108.016,0.1224,2020-05-31
5,135.5,149.303,105.909,51.6568,76.20522,66.743270784,89.204165568,20.32,87.838272672,8.91,23.36,63.203,78.152256,35.2864,39.127479888,41.336,12.841,43.869366,62.218,8.1192,2020-06-30
6,105.9292,64.592,55.284,35.9944,64.8822,81.354166128,57.032404128,29.83,57.82992,22.074,38.458,28.46,73.69555199999999,18.2308,41.372274672,25.1888,25.667,50.576973,29.134,40.21452,2020-07-31
7,100.5012,119.536,48.523,30.908,69.9873,64.139484144,75.847701888,66.478,52.07658144,39.904,18.172,20.255,54.534144,19.0876,39.809919456,30.2304,32.295,37.943772,49.534000000000006,36.77406,2020-08-31
8,158.4388,194.523,71.064,50.5356,70.8645,114.205821024,83.0622256128,60.302,45.1656,39.059,29.859,59.056,75.66048,18.19496,48.085519728,38.6772,45.029,44.0427765,36.532,40.70616,2020-09-30
9,93.7668,146.11,63.473,33.2316,65.26674,72.872880816,79.2816933888,82.513,53.67954,40.088,28.354,61.76,69.03456,25.5892,56.55934190399999,37.392,32.091,33.951909,72.66,35.10636,2020-10-31
10,183.3804,73.3198,53.2742,42.3864,65.99502,73.88879592,96.6380792832,88.312,53.248077552,40.594,34.256,41.532,64.02144,20.4616,38.060616192,36.368,38.835,38.0559165,66.7234,42.19638,2020-11-30
11,138.5608,183.699,98.79,36.2096,84.73548,60.62637648,55.6663919616,52.924,60.099431424,57.869,43.620000000000005,46.724,44.424576,17.2416,50.67801864,40.5876,47.135,32.2782975,43.0266,32.14938,2020-12-31
12,189.5852,132.94,55.524,44.64919999999999,80.89008,72.454291584,79.96979128320001,62.949,61.1751936,51.22,14.844,78.92399999999999,62.474496,28.3528,64.31916,41.688,45.667,45.0528135,53.388000000000005,43.3143,2021-01-31
13,228.5656,131.211,102.179,75.0992,73.04934,78.89833824,73.5662850048,49.71,49.98816,47.697,39.719,79.012,74.180736,38.106,55.154459184,37.7768,35.054,42.448839,51.376000000000005,40.49808,2021-02-28
14,692.5916,343.473,196.363,269.25960000000003,73.49406,79.96900368,71.6584046976,63.586,52.043799456,44.304,29.713,109.24585,60.719232000000005,123.3832,49.6944,78.176,42.237,57.139840500000005,116.396,46.61502,2021-03-31
15,450.9224,227.638,191.389,199.888,62.86668,62.670814704,60.9058118592,44.085,58.058060544,34.505,68.06,24.184,44.893632,105.6836,37.16064,94.0324,33.543,44.128689,10.606,31.7577,2021-04-30
16,144.8396,358.706,261.657,60.7252,82.12326,75.106654704,55.193824224,44.32,52.55856,39.4,75.031,18.348,24.571008,43.2884,50.781718368,14.3616,40.866,23.8698135,11.622,48.96204,2021-05-31
17,50.7432,328.24,198.237,27.8248,108.72078,90.037078512,64.6105916736,61.459,57.445042992,40.419,132.431,74.356,47.877312,15.196000000000002,61.640638368000005,10.0144,37.969,39.9909045,46.908,49.96062,2021-06-30
18,87.2852,137.3139,204.9331,19.6448,110.11614,67.289712528,76.33919865600001,60.7,67.550179728,37.1336,140.415,45.502,58.0841856,16.8044,43.998757536,18.7332,25.184,35.8706595,33.25,51.51408,2021-07-31
19,70.7648,140.372,257.722,26.8612,88.70838,70.27763688,96.49584,81.94,68.044540272,51.088,120.238,35.641,65.657088,25.5556,66.180658368,33.32,41.931,53.594787,20.634,61.53966,2021-08-31
20,130.5092,74.19200000000001,306.915,29.49144,65.5656,80.610570624,63.2812932864,110.55,66.463199184,43.3905,104.02,50.905,57.71136,16.5176,60.78384,16.5444,41.266,44.2209135,15.214,51.48552,2021-09-30
21,149.358,55.406,115.138,32.19,58.00332,75.787654032,44.1245605248,59.26,55.25885496,38.547,51.282,26.455,38.281152,22.9904,49.73316,45.9224,32.746,50.8228785,21.7504,43.85184,2021-10-31
22,151.8404,25.582,28.557,40.1268,47.5116,38.79669552,28.8847859328,50.02,71.029065984,44.515,15.18,17.973,31.270848,26.0724,39.347518368,31.736,40.552,32.995689,11.502,58.0074,2021-11-30
23,148.0128,84.237,201.409,41.832,50.184,28.7636532,49.6625387328,75.36,103.403859456,21.4055,58.543,16.96,9.619008,19.5092,36.727134288,36.2496,23.292,39.7118745,12.77,61.251,2021-12-31
24,163.5552,159.08666,220.861,67.5232,86.83918,76.60501511999999,77.8300705728,83.535,84.605625024,73.29,45.587,31.164,50.129856,55.8816,61.1772132,33.2116,59.353,66.9077475,8.542,58.9858,2022-01-31
25,217.834,91.591,68.0,48.7896,65.91802,50.781693888,70.3326589056,53.37,58.94444544,84.057,23.949,27.681,46.97525952,35.0352,47.57823864,50.7184,60.605,31.386942,25.0,51.37520000000001,2022-02-28
26,864.2524,98.737,106.589,359.3764,85.8758,51.7136532,72.96484890239999,81.66,46.821400272,76.0,27.863,58.341,33.179328,155.9108,47.832898368,116.5276,63.842,50.592855,66.134,5.635,2022-03-31
27,268.28000000000003,88.57,121.01,126.23,64.56,46.21,46.11,59.21,58.77,75.38,15.09,36.91,23.82,75.81,23.22,85.91,43.31,32.59,14.23,38.68,2022-04-30
28,92.4452,108.56,217.444,27.536,90.3174,36.03624912,42.0935635008,65.199,51.47260272,61.694,29.131,15.926,30.42816,27.4788,26.376517824,10.9276,60.969,31.761858,4.226,68.89692,2022-05-31
29,83.2712,145.672,224.436,32.345600000000005,102.617,54.88618776,53.5205313216,77.6,50.061260544,70.03,58.89,1.1,30.289728000000004,16.276,30.247758912,28.384,32.812,31.570563,0.738,84.61466,2022-06-30
30,109.2724,82.57845,111.982,22.378516,83.9154,41.096389968,53.213244537600005,78.6,52.41168,80.868,41.953,-0.113,27.4520064,6.1696,39.380977632,19.62952,61.673,32.7963075,1.9617,71.33,2022-07-31
31,194.47568904247288,209.1430264626779,97.25700605331294,40.50707111751593,108.34348120520347,64.75953362066443,45.30120227581881,88.81472040493425,62.14402852297888,86.52552886005213,57.15538480069198,23.72442286371858,45.0364841152904,14.27299309007099,51.3550292421165,30.868412790872497,66.32845866709403,37.458428454546194,0.1690456859778613,47.76623408321467,2022-08-31
32,128.02381457801948,268.67224675268795,81.80826801691998,27.63002557679761,83.63570048418485,46.68705498660861,71.32758018743974,77.33028598455151,38.14913174784839,80.58737077641533,30.48166649707348,10.496862752251984,25.286270734016945,15.314413199091362,40.01750701834116,28.18458604624086,60.44460453386577,53.17762288358661,6.336843941116781,53.989543497675086,2022-09-30
33,152.8536,426.0337,184.051,39.0132,99.909,77.29610510399999,32.8028835456,59.119,52.754058912,76.222,47.977,81.4712,28.5130944,14.742968,44.356602096,29.354,64.431,45.4957725,7.32957,71.995,2022-10-31
34,171.4412,203.6157,77.998,45.2292,76.9284,82.159099536,63.3961992384,58.9,58.285530336,81.1197,24.945,10.88775,33.3610368,18.4492444,47.711914128,42.2936,61.228,37.4858385,4.3304,57.141,2022-11-30
35,172.71880000000002,481.05468,77.87,38.5633512,89.76,42.513650592,41.743138752,45.52,48.086539728,97.3932,67.247,14.43968,21.71069376,14.764396,29.377126896,42.8544,65.065,43.5447285,3.0166,47.2,2022-12-31
36,202.5976,416.5846,139.062,90.55856,91.3716,58.947875088,60.362647025,40.19,69.70748544,94.9032,59.789,58.43784,43.721262144,45.599052,42.352616256000005,46.5168,71.355,27.50840085,9.12078,30.5,2023-01-31
37,518.1536,307.09422,124.251,164.63888,84.08879999999999,75.865550208,60.754032459,31.465,41.754045168,92.331,92.99,28.1744,20.13080832,58.559920000000005,54.871202736,42.83688,67.926,52.0570155,33.6319,24.64,2023-02-28
38,672.7372,439.9663,182.247,315.89248,65.127,76.735071322,46.817068429,17.18,59.437779456,101.704,81.346,19.19023,24.33677568,111.71632,26.856369888,110.5372,59.016,29.75811,72.2213,17.55,2023-03-31
